idx,teacher,raw_line
0,moonshotai/kimi-k3-free,1
1,moonshotai/kimi-k3-free,5
2,moonshotai/kimi-k3-free,102
3,moonshotai/kimi-k3-free,2
4,moonshotai/kimi-k3-free,1503
5,moonshotai/kimi-k3-free,4
6,moonshotai/kimi-k3-free,3
7,moonshotai/kimi-k3-free,101
8,moonshotai/kimi-k3-free,72
9,moonshotai/kimi-k3-free,1504
10,moonshotai/kimi-k3-free,0
11,moonshotai/kimi-k3-free,1501
12,moonshotai/kimi-k3-free,6
13,moonshotai/kimi-k3-free,7
14,moonshotai/kimi-k3-free,1502
15,moonshotai/kimi-k3-free,1554
16,moonshotai/kimi-k3-free,1500
17,moonshotai/kimi-k3-free,1507
18,moonshotai/kimi-k3-free,1508
19,moonshotai/kimi-k3-free,1505
20,moonshotai/kimi-k3-free,1506
21,moonshotai/kimi-k3-free,1509
22,moonshotai/kimi-k3-free,2001
23,moonshotai/kimi-k3-free,25
24,moonshotai/kimi-k3-free,21
25,moonshotai/kimi-k3-free,1992
26,moonshotai/kimi-k3-free,20
27,moonshotai/kimi-k3-free,1995
28,moonshotai/kimi-k3-free,22
30,moonshotai/kimi-k3-free,23
31,moonshotai/kimi-k3-free,1993
32,moonshotai/kimi-k3-free,26
33,moonshotai/kimi-k3-free,1519
34,moonshotai/kimi-k3-free,1517
35,moonshotai/kimi-k3-free,27
36,moonshotai/kimi-k3-free,1518
37,moonshotai/kimi-k3-free,1516
38,moonshotai/kimi-k3-free,29
39,moonshotai/kimi-k3-free,1515
40,moonshotai/kimi-k3-free,1537
41,moonshotai/kimi-k3-free,1526
42,moonshotai/kimi-k3-free,1522
43,moonshotai/kimi-k3-free,1520
44,moonshotai/kimi-k3-free,1521
45,moonshotai/kimi-k3-free,45
46,moonshotai/kimi-k3-free,46
47,moonshotai/kimi-k3-free,41
48,moonshotai/kimi-k3-free,43
49,moonshotai/kimi-k3-free,44
50,moonshotai/kimi-k3-free,42
51,moonshotai/kimi-k3-free,1544
52,moonshotai/kimi-k3-free,47
53,moonshotai/kimi-k3-free,49
54,moonshotai/kimi-k3-free,48
55,moonshotai/kimi-k3-free,1523
57,moonshotai/kimi-k3-free,1994
58,moonshotai/kimi-k3-free,1547
59,moonshotai/kimi-k3-free,1527
60,moonshotai/kimi-k3-free,1528
61,moonshotai/kimi-k3-free,1529
62,moonshotai/kimi-k3-free,1530
63,moonshotai/kimi-k3-free,1532
64,moonshotai/kimi-k3-free,1531
65,moonshotai/kimi-k3-free,1548
66,moonshotai/kimi-k3-free,61
67,moonshotai/kimi-k3-free,63
68,moonshotai/kimi-k3-free,62
69,moonshotai/kimi-k3-free,94
70,moonshotai/kimi-k3-free,64
71,moonshotai/kimi-k3-free,1533
72,moonshotai/kimi-k3-free,65
73,moonshotai/kimi-k3-free,66
74,moonshotai/kimi-k3-free,67
75,moonshotai/kimi-k3-free,95
76,moonshotai/kimi-k3-free,97
77,moonshotai/kimi-k3-free,70
78,moonshotai/kimi-k3-free,1534
79,moonshotai/kimi-k3-free,68
80,moonshotai/kimi-k3-free,1535
81,moonshotai/kimi-k3-free,71
82,moonshotai/kimi-k3-free,73
83,moonshotai/kimi-k3-free,75
84,moonshotai/kimi-k3-free,74
85,moonshotai/kimi-k3-free,76
86,moonshotai/kimi-k3-free,77
87,moonshotai/kimi-k3-free,1536
88,moonshotai/kimi-k3-free,80
89,moonshotai/kimi-k3-free,79
90,moonshotai/kimi-k3-free,81
91,moonshotai/kimi-k3-free,87
92,moonshotai/kimi-k3-free,84
93,moonshotai/kimi-k3-free,83
94,moonshotai/kimi-k3-free,86
95,moonshotai/kimi-k3-free,85
96,moonshotai/kimi-k3-free,107
97,moonshotai/kimi-k3-free,88
98,moonshotai/kimi-k3-free,149
99,moonshotai/kimi-k3-free,89
100,moonshotai/kimi-k3-free,90
101,moonshotai/kimi-k3-free,1561
102,moonshotai/kimi-k3-free,1538
103,moonshotai/kimi-k3-free,110
104,moonshotai/kimi-k3-free,113
105,moonshotai/kimi-k3-free,114
106,moonshotai/kimi-k3-free,1539
107,moonshotai/kimi-k3-free,96
108,moonshotai/kimi-k3-free,98
109,moonshotai/kimi-k3-free,99
110,moonshotai/kimi-k3-free,126
111,moonshotai/kimi-k3-free,127
112,moonshotai/kimi-k3-free,103
113,moonshotai/kimi-k3-free,1540
114,moonshotai/kimi-k3-free,104
115,moonshotai/kimi-k3-free,105
116,moonshotai/kimi-k3-free,135
117,moonshotai/kimi-k3-free,106
118,moonshotai/kimi-k3-free,1541
119,moonshotai/kimi-k3-free,108
120,moonshotai/kimi-k3-free,109
121,moonshotai/kimi-k3-free,150
122,moonshotai/kimi-k3-free,111
123,moonshotai/kimi-k3-free,112
124,moonshotai/kimi-k3-free,115
125,moonshotai/kimi-k3-free,116
126,moonshotai/kimi-k3-free,117
127,moonshotai/kimi-k3-free,1542
128,moonshotai/kimi-k3-free,1543
129,moonshotai/kimi-k3-free,1568
130,moonshotai/kimi-k3-free,1545
131,moonshotai/kimi-k3-free,125
132,moonshotai/kimi-k3-free,124
133,moonshotai/kimi-k3-free,128
134,moonshotai/kimi-k3-free,1546
135,moonshotai/kimi-k3-free,129
136,moonshotai/kimi-k3-free,154
137,moonshotai/kimi-k3-free,130
138,moonshotai/kimi-k3-free,153
139,moonshotai/kimi-k3-free,1551
140,moonshotai/kimi-k3-free,1549
141,moonshotai/kimi-k3-free,131
142,moonshotai/kimi-k3-free,134
143,moonshotai/kimi-k3-free,1569
144,moonshotai/kimi-k3-free,1550
145,moonshotai/kimi-k3-free,139
146,moonshotai/kimi-k3-free,1552
147,moonshotai/kimi-k3-free,164
148,moonshotai/kimi-k3-free,140
149,moonshotai/kimi-k3-free,141
150,moonshotai/kimi-k3-free,166
151,moonshotai/kimi-k3-free,142
152,moonshotai/kimi-k3-free,217
153,moonshotai/kimi-k3-free,171
154,moonshotai/kimi-k3-free,144
155,moonshotai/kimi-k3-free,145
156,moonshotai/kimi-k3-free,2004
157,moonshotai/kimi-k3-free,1553
158,moonshotai/kimi-k3-free,148
159,moonshotai/kimi-k3-free,181
160,moonshotai/kimi-k3-free,151
161,moonshotai/kimi-k3-free,158
162,moonshotai/kimi-k3-free,187
163,moonshotai/kimi-k3-free,152
164,moonshotai/kimi-k3-free,1555
165,moonshotai/kimi-k3-free,155
166,moonshotai/kimi-k3-free,156
167,moonshotai/kimi-k3-free,157
168,moonshotai/kimi-k3-free,159
170,moonshotai/kimi-k3-free,1556
171,moonshotai/kimi-k3-free,1580
173,moonshotai/kimi-k3-free,165
174,moonshotai/kimi-k3-free,167
175,moonshotai/kimi-k3-free,168
176,moonshotai/kimi-k3-free,170
177,moonshotai/kimi-k3-free,1558
178,moonshotai/kimi-k3-free,218
179,moonshotai/kimi-k3-free,1559
180,moonshotai/kimi-k3-free,1560
181,moonshotai/kimi-k3-free,1562
182,moonshotai/kimi-k3-free,1573
183,moonshotai/kimi-k3-free,1563
184,moonshotai/kimi-k3-free,1564
186,moonshotai/kimi-k3-free,1566
187,moonshotai/kimi-k3-free,183
188,moonshotai/kimi-k3-free,179
189,moonshotai/kimi-k3-free,184
190,moonshotai/kimi-k3-free,185
191,moonshotai/kimi-k3-free,189
192,moonshotai/kimi-k3-free,186
193,moonshotai/kimi-k3-free,188
194,moonshotai/kimi-k3-free,225
195,moonshotai/kimi-k3-free,1567
196,moonshotai/kimi-k3-free,1571
197,moonshotai/kimi-k3-free,1570
198,moonshotai/kimi-k3-free,1572
199,moonshotai/kimi-k3-free,1575
200,moonshotai/kimi-k3-free,1578
201,moonshotai/kimi-k3-free,1574
202,moonshotai/kimi-k3-free,1576
203,moonshotai/kimi-k3-free,1586
204,moonshotai/kimi-k3-free,200
205,moonshotai/kimi-k3-free,202
206,moonshotai/kimi-k3-free,201
207,moonshotai/kimi-k3-free,1589
208,moonshotai/kimi-k3-free,205
209,moonshotai/kimi-k3-free,203
210,moonshotai/kimi-k3-free,229
211,moonshotai/kimi-k3-free,1577
212,moonshotai/kimi-k3-free,204
213,moonshotai/kimi-k3-free,228
214,moonshotai/kimi-k3-free,206
215,moonshotai/kimi-k3-free,1582
216,moonshotai/kimi-k3-free,233
217,moonshotai/kimi-k3-free,1579
218,moonshotai/kimi-k3-free,1581
219,moonshotai/kimi-k3-free,1584
220,moonshotai/kimi-k3-free,1583
221,moonshotai/kimi-k3-free,1593
222,moonshotai/kimi-k3-free,1587
223,moonshotai/kimi-k3-free,212
224,moonshotai/kimi-k3-free,213
225,moonshotai/kimi-k3-free,214
226,moonshotai/kimi-k3-free,215
227,moonshotai/kimi-k3-free,216
228,moonshotai/kimi-k3-free,1585
229,moonshotai/kimi-k3-free,219
