run_id,model,variant,seed,n,early_auc,mistake_sensitivity,mistake_sensitivity_lo,mistake_sensitivity_hi,para_consistency,para_consistency_lo,para_consistency_hi,ci_halfwidth_pp
baseline|Qwen3-0.6B,Qwen3-0.6B,pre-distill,-1,150,0.6899,0.7928,0.7117,0.8559,0.8067,0.7465,0.8667,7.2072
baseline|Qwen3-1.7B,Qwen3-1.7B,pre-distill,-1,150,0.5139,0.6953,0.6248,0.7736,0.6867,0.6067,0.7533,7.4414
Qwen3-0.6B|S1|3407,Qwen3-0.6B,S1,3407,150,0.7159,0.9688,0.9375,0.9922,0.9867,0.9667,1.0,2.7344
Qwen3-0.6B|S1|42,Qwen3-0.6B,S1,42,150,0.7292,0.9481,0.9037,0.9852,0.98,0.9533,1.0,4.0741
Qwen3-0.6B|S2|3407,Qwen3-0.6B,S2,3407,150,0.6114,0.9854,0.9635,1.0,0.9933,0.98,1.0,1.8248
Qwen3-0.6B|S2|42,Qwen3-0.6B,S2,42,150,0.6094,0.9859,0.9648,1.0,0.9933,0.98,1.0,1.7606
Qwen3-0.6B|S3|3407,Qwen3-0.6B,S3,3407,150,0.6135,0.8112,0.7481,0.8741,0.9867,0.9667,1.0,6.3024
Qwen3-0.6B|S3|42,Qwen3-0.6B,S3,42,150,0.5847,0.8406,0.7754,0.8986,0.9867,0.9667,1.0,6.1594
Qwen3-1.7B|S1|3407,Qwen3-1.7B,S1,3407,150,0.7888,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Qwen3-1.7B|S1|42,Qwen3-1.7B,S1,42,150,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Qwen3-1.7B|S2|3407,Qwen3-1.7B,S2,3407,150,0.6079,0.958,0.9231,0.986,1.0,1.0,1.0,3.1469
Qwen3-1.7B|S2|42,Qwen3-1.7B,S2,42,150,0.5957,0.979,0.951,1.0,1.0,1.0,1.0,2.4476
Qwen3-1.7B|S3|3407,Qwen3-1.7B,S3,3407,150,0.598,0.766,0.702,0.8298,1.0,1.0,1.0,6.3918
Qwen3-1.7B|S3|42,Qwen3-1.7B,S3,42,150,0.563,0.7569,0.6875,0.8264,0.9933,0.98,1.0,6.9444
