run_id,model,variant,seed,n,acc_full,early_auc,early_acc_0,early_acc_20,early_acc_40,early_acc_60,early_acc_80,mistake_coverage,mistake_acc_ctrl,mistake_acc_broken,mistake_sensitivity,para_jaccard,para_consistency,orig_acc,para_acc,gen_tokens,wall_min
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,150,0.3466666666666667,0.6899038461538461,0.18,0.18,0.19333333333333333,0.21333333333333335,0.2866666666666667,0.7933333333333333,0.37815126050420167,0.07563025210084033,0.7058823529411765,0.7714274059834845,0.8066666666666666,0.3,0.2866666666666667,97.30666666666667,9.71063984632492
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,150,0.72,0.5138888888888888,0.16,0.14666666666666667,0.22666666666666666,0.32666666666666666,0.49333333333333335,0.8866666666666667,0.6992481203007519,0.20300751879699247,0.6466165413533834,0.7128450274129693,0.6866666666666666,0.5266666666666666,0.49333333333333335,122.8,17.988691413402556
Qwen3-0.6B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_3407,S1,3407,150,0.44,0.7159090909090909,0.12,0.12,0.16,0.38666666666666666,0.43333333333333335,0.9,0.4666666666666667,0.05925925925925926,0.9037037037037037,0.338,0.9866666666666667,0.44,0.44,42.6,3.515168027083079
Qwen3-0.6B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_42,S1,42,150,0.44,0.7291666666666666,0.14,0.14,0.18,0.37333333333333335,0.44,0.9333333333333333,0.45,0.03571428571428571,0.8857142857142857,0.3181111111111111,0.98,0.44,0.44,42.26,3.589712170759837
Qwen3-0.6B|S2|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S2_3407,S2,3407,150,0.6133333333333333,0.6114130434782609,0.09333333333333334,0.09333333333333334,0.15333333333333332,0.37333333333333335,0.62,0.9466666666666667,0.6126760563380281,0.028169014084507043,0.8873239436619719,0.674433211769053,0.9933333333333333,0.6133333333333333,0.6133333333333333,99.30666666666667,7.885844918092092
Qwen3-0.6B|S2|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S2_42,S2,42,150,0.5866666666666667,0.6093749999999999,0.11333333333333333,0.11333333333333333,0.16,0.34,0.58,0.9733333333333334,0.5821917808219178,0.03424657534246575,0.9041095890410958,0.6796679891804696,0.9933333333333333,0.5866666666666667,0.5866666666666667,99.88,9.030157200495402
Qwen3-0.6B|S3|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S3_3407,S3,3407,150,0.58,0.6135057471264368,0.013333333333333334,0.02666666666666667,0.08,0.47333333333333333,0.5666666666666667,0.98,0.5714285714285714,0.3673469387755102,0.41496598639455784,0.6778280735885076,0.9866666666666667,0.58,0.58,384.49333333333334,23.329024549325307
Qwen3-0.6B|S3|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S3_42,S3,42,150,0.6,0.5847222222222223,0.02666666666666667,0.02,0.05333333333333334,0.4533333333333333,0.5866666666666667,1.0,0.5666666666666667,0.3333333333333333,0.4,0.6808348859522825,0.9866666666666667,0.6,0.6,378.58,22.426144285996756
Qwen3-1.7B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S1_3407,S1,3407,150,0.58,0.7887931034482759,0.29333333333333333,0.29333333333333333,0.31333333333333335,0.5,0.58,0.9266666666666666,0.60431654676259,0.03597122302158273,0.9568345323741008,0.2892275132275132,1.0,0.5866666666666667,0.5866666666666667,41.06666666666667,6.436983092625936
Qwen3-1.7B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S1_42,S1,42,150,0.52,0.8124999999999999,0.2733333333333333,0.2733333333333333,0.3,0.4666666666666667,0.5266666666666666,0.9266666666666666,0.539568345323741,0.04316546762589928,0.9424460431654677,0.31856084656084654,1.0,0.5266666666666666,0.5266666666666666,40.38666666666666,6.276501758893331
Qwen3-1.7B|S2|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S2_3407,S2,3407,150,0.78,0.6079059829059827,0.16,0.16,0.25333333333333335,0.44,0.7333333333333333,0.9666666666666667,0.7793103448275862,0.12413793103448276,0.8413793103448276,0.6637369878598047,1.0,0.78,0.78,94.54,11.159276775519054
Qwen3-1.7B|S2|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S2_42,S2,42,150,0.74,0.5957207207207207,0.14666666666666667,0.14666666666666667,0.22,0.41333333333333333,0.6866666666666666,0.96,0.7430555555555556,0.0763888888888889,0.9027777777777778,0.6592651001891835,1.0,0.74,0.74,95.3,11.569408384958903
Qwen3-1.7B|S3|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S3_3407,S3,3407,150,0.74,0.5979729729729729,0.02,0.02666666666666667,0.11333333333333333,0.5533333333333333,0.72,1.0,0.6866666666666666,0.4533333333333333,0.37333333333333335,0.6856097488054583,1.0,0.7466666666666667,0.7466666666666667,378.1933333333333,36.92536787589391
