run_id,model,variant,seed,n,acc_full,early_auc,early_acc_0,early_acc_20,early_acc_40,early_acc_60,early_acc_80,mistake_coverage,mistake_acc_ctrl,mistake_acc_broken,mistake_sensitivity,para_jaccard,para_consistency,orig_acc,para_acc,gen_tokens,wall_min,src_version
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,150,0.3466666666666667,0.6899038461538461,0.18,0.18,0.1933333333333333,0.2133333333333333,0.2866666666666667,0.7466666666666667,0.3839285714285714,0.0446428571428571,0.7857142857142857,0.7714274059834845,0.8066666666666666,0.3,0.2866666666666667,97.30666666666669,8.672373139858246,5
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,150,0.72,0.5138888888888888,0.16,0.1466666666666666,0.2266666666666666,0.3266666666666666,0.4933333333333333,0.8733333333333333,0.7022900763358778,0.1679389312977099,0.6793893129770993,0.7128450274129693,0.6866666666666666,0.5266666666666666,0.4933333333333333,122.8,16.430013918876647,5
Qwen3-0.6B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_3407,S1,3407,150,0.44,0.7159090909090909,0.12,0.12,0.16,0.3866666666666666,0.4333333333333333,0.8666666666666667,0.4846153846153846,0.0307692307692307,0.9692307692307692,0.338,0.9866666666666668,0.44,0.44,42.6,3.448771564165752,5
Qwen3-0.6B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_42,S1,42,150,0.44,0.7291666666666666,0.14,0.14,0.18,0.3733333333333333,0.44,0.9066666666666666,0.4632352941176471,0.0367647058823529,0.9485294117647058,0.3181111111111111,0.98,0.44,0.44,42.26,3.552142341931661,5
Qwen3-0.6B|S2|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S2_3407,S2,3407,150,0.6133333333333333,0.6114130434782609,0.0933333333333333,0.0933333333333333,0.1533333333333333,0.3733333333333333,0.62,0.9266666666666666,0.6258992805755396,0.0071942446043165,0.9856115107913668,0.674433211769053,0.9933333333333332,0.6133333333333333,0.6133333333333333,99.30666666666669,7.670711926619211,5
Qwen3-0.6B|S2|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S2_42,S2,42,150,0.5866666666666667,0.6093749999999999,0.1133333333333333,0.1133333333333333,0.16,0.34,0.58,0.9733333333333334,0.5821917808219178,0.0068493150684931,0.9863013698630136,0.6796679891804696,0.9933333333333332,0.5866666666666667,0.5866666666666667,99.88,8.378729609648387,5
Qwen3-0.6B|S3|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S3_3407,S3,3407,150,0.58,0.6135057471264368,0.0133333333333333,0.0266666666666666,0.08,0.4733333333333333,0.5666666666666667,0.9533333333333334,0.5524475524475524,0.1958041958041958,0.6783216783216783,0.6778280735885076,0.9866666666666668,0.58,0.58,384.4933333333333,20.93614728450775,5
Qwen3-0.6B|S3|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S3_42,S3,42,150,0.6,0.5847222222222223,0.0266666666666666,0.02,0.0533333333333333,0.4533333333333333,0.5866666666666667,0.9733333333333334,0.5821917808219178,0.1986301369863013,0.6712328767123288,0.6808348859522825,0.9866666666666668,0.6,0.6,378.58,20.35006798903148,5
Qwen3-1.7B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S1_3407,S1,3407,150,0.58,0.7887931034482759,0.2933333333333333,0.2933333333333333,0.3133333333333333,0.5,0.58,0.92,0.6086956521739131,0.0,1.0,0.2892275132275132,1.0,0.5866666666666667,0.5866666666666667,41.06666666666667,5.311486061414083,5
Qwen3-1.7B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S1_42,S1,42,150,0.52,0.8124999999999999,0.2733333333333333,0.2733333333333333,0.3,0.4666666666666667,0.5266666666666666,0.92,0.5434782608695652,0.0072463768115942,1.0,0.3185608465608465,1.0,0.5266666666666666,0.5266666666666666,40.38666666666666,5.323466475804647,5
Qwen3-1.7B|S2|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S2_3407,S2,3407,150,0.78,0.6079059829059827,0.16,0.16,0.2533333333333333,0.44,0.7333333333333333,0.9533333333333334,0.7902097902097902,0.0279720279720279,0.965034965034965,0.6637369878598047,1.0,0.78,0.78,94.54,9.25182269414266,5
Qwen3-1.7B|S2|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S2_42,S2,42,150,0.74,0.5957207207207207,0.1466666666666666,0.1466666666666666,0.22,0.4133333333333333,0.6866666666666666,0.9533333333333334,0.7412587412587412,0.0209790209790209,0.9790209790209792,0.6592651001891835,1.0,0.74,0.74,95.3,9.740209209918977,5
Qwen3-1.7B|S3|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S3_3407,S3,3407,150,0.74,0.5979729729729729,0.02,0.0266666666666666,0.1133333333333333,0.5533333333333333,0.72,0.9933333333333332,0.6912751677852349,0.2751677852348993,0.6375838926174496,0.6856097488054583,1.0,0.7466666666666667,0.7466666666666667,378.1933333333333,31.788716479142508,5
Qwen3-1.7B|S3|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S3_42,S3,42,150,0.7666666666666667,0.5630434782608695,0.02,0.02,0.04666666666666667,0.5266666666666666,0.76,0.98,0.7074829931972789,0.2585034013605442,0.6462585034013606,0.6831475312649432,0.9933333333333333,0.7666666666666667,0.7666666666666667,375.62,31.217971336841583,5
