run_id,model,variant,seed,n_train,train_loss,dataset,accuracy,avg_output_tokens,latency_s_per_item,truncated_frac,max_tokens_seen,used_fallback_frac,eval_max_new,n_shot,wall_min
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,0,,gsm8k,0.3533333333333333,92.55666666666669,1.621550726890564,0.01,1024,0.01,1024,4,
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,0,,gsm8k,0.7266666666666667,117.60333333333334,2.204479407469432,0.0033333333333333,1024,0.0033333333333333,1024,4,
Qwen3-0.6B|S0|3407,unsloth/Qwen3-0.6B,S0,3407,1500,0.3838938212563805,gsm8k,0.1066666666666666,5.476666666666667,0.0521175503730773,0.0,9,0.0,1024,0,14.975845046838124
Qwen3-0.6B|S0|42,unsloth/Qwen3-0.6B,S0,42,1500,0.3825667458223113,gsm8k,0.1266666666666666,5.476666666666667,0.0516548903783162,0.0,9,0.0,1024,0,14.706472118695578
Qwen3-0.6B|S1|3407,unsloth/Qwen3-0.6B,S1,3407,1500,0.1716457254497717,gsm8k,0.4133333333333333,40.92666666666667,0.43093213001887,0.0,170,0.0,1024,0,16.906032200654348
Qwen3-0.6B|S1|42,unsloth/Qwen3-0.6B,S1,42,1500,0.1709215463475978,gsm8k,0.4166666666666667,44.72666666666667,0.7545212976137797,0.0033333333333333,1024,0.0033333333333333,1024,0,18.17146042585373
Qwen3-0.6B|S2|3407,unsloth/Qwen3-0.6B,S2,3407,1500,0.3223952638342025,gsm8k,0.56,94.38333333333334,1.1341081110636393,0.0033333333333333,1024,0.0033333333333333,1024,0,20.240130790074662
Qwen3-0.6B|S2|42,unsloth/Qwen3-0.6B,S2,42,1500,0.322031539805392,gsm8k,0.59,95.83,1.2203366700808207,0.0033333333333333,1024,0.0033333333333333,1024,0,21.017977770169576
Qwen3-0.6B|S3|3407,unsloth/Qwen3-0.6B,S3,3407,1500,0.4704651037851969,gsm8k,0.54,373.44,4.3529336873690285,0.0133333333333333,1024,0.0133333333333333,1024,0,36.99159972667694
Qwen3-0.6B|S3|42,unsloth/Qwen3-0.6B,S3,42,1500,0.4700999057039301,gsm8k,0.5533333333333333,377.09,4.394312920570374,0.0133333333333333,1024,0.0133333333333333,1024,0,37.35717625617981
Qwen3-1.7B|S0|3407,unsloth/Qwen3-1.7B,S0,3407,1500,0.4133375993011691,gsm8k,0.1933333333333333,5.41,0.0974936652183532,0.0,9,0.0,1024,0,15.672651839256286
Qwen3-1.7B|S0|42,unsloth/Qwen3-1.7B,S0,42,1500,0.4130056263707208,gsm8k,0.1966666666666666,5.41,0.0964174731572469,0.0,9,0.0,1024,0,15.804620412985484
Qwen3-1.7B|S1|3407,unsloth/Qwen3-1.7B,S1,3407,1500,0.1665990661222038,gsm8k,0.57,40.59333333333333,0.7506243880589804,0.0,98,0.0,1024,0,19.22898030281067
Qwen3-1.7B|S1|42,unsloth/Qwen3-1.7B,S1,42,1500,0.1678999907581518,gsm8k,0.5533333333333333,40.48,0.7445411626497904,0.0,98,0.0,1024,0,19.052748350302377
Qwen3-1.7B|S2|3407,unsloth/Qwen3-1.7B,S2,3407,1500,0.2862809198967954,gsm8k,0.74,93.23,1.536065924167633,0.0,181,0.0,1024,0,23.91367887655894
Qwen3-1.7B|S2|42,unsloth/Qwen3-1.7B,S2,42,1500,0.2873630472954283,gsm8k,0.7166666666666667,94.07,1.600788860321045,0.0,218,0.0,1024,0,24.355643796920777
Qwen3-1.7B|S3|3407,unsloth/Qwen3-1.7B,S3,3407,1500,0.4081163939009321,gsm8k,0.7633333333333333,370.60333333333335,7.050802702903748,0.0033333333333333,1024,0.0033333333333333,1024,0,67.10003375212351
Qwen3-1.7B|S3|42,unsloth/Qwen3-1.7B,S3,42,1500,0.4071378631794706,gsm8k,0.75,368.3333333333333,6.679155445098877,0.0066666666666666,1024,0.0066666666666666,1024,0,64.83332426945368
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,0,,gsm_plus,0.21,103.57,2.178903733889262,0.0133333333333333,1024,0.0166666666666666,1024,4,10.89456531604131
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,0,,svamp,0.5766666666666667,66.60666666666667,2.155425780614217,0.0166666666666666,1024,0.0233333333333333,1024,4,10.777170825004578
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,0,,gsm_plus,0.5866666666666667,143.00333333333333,2.588882381121317,0.0033333333333333,1024,0.0033333333333333,1024,4,12.944450255235036
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,0,,svamp,0.83,68.17333333333333,1.5454358990987145,0.0033333333333333,1024,0.0033333333333333,1024,4,7.727208729585012
Qwen3-0.6B|S0|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S0_3407,S0,3407,1500,,gsm_plus,0.08,5.486666666666666,0.0534910321235656,0.0,10,0.0,1024,0,0.2674800157546997
Qwen3-0.6B|S0|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S0_3407,S0,3407,1500,,svamp,0.3233333333333333,5.123333333333333,0.044031974474589,0.0,10,0.0,1024,0,0.2201828002929687
Qwen3-0.6B|S0|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S0_42,S0,42,1500,,gsm_plus,0.08,5.493333333333333,0.0531438446044921,0.0,10,0.0,1024,0,0.2657423416773478
Qwen3-0.6B|S0|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S0_42,S0,42,1500,,svamp,0.3266666666666666,5.14,0.0435907403628031,0.0,9,0.0,1024,0,0.2179769873619079
Qwen3-0.6B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_3407,S1,3407,1500,,gsm_plus,0.32,45.23333333333333,0.4394322331746419,0.0,98,0.0,1024,0,2.197189652919769
Qwen3-0.6B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_3407,S1,3407,1500,,svamp,0.5266666666666666,25.79,0.2794602990150451,0.0,81,0.0,1024,0,1.397323981920878
Qwen3-0.6B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_42,S1,42,1500,,gsm_plus,0.3033333333333333,45.6,0.4435048802693684,0.0,104,0.0,1024,0,2.2175504247347515
Qwen3-0.6B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_42,S1,42,1500,,svamp,0.5233333333333333,25.50333333333333,0.2608478856086731,0.0,76,0.0,1024,0,1.3042636871337892
